Man City; 1/5; 2/9; 1/4; ; 2/9; 2/9; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; 2/9; ; 2/9; 2/9; 1/4; 2/9; 2/9; 27/100; 3/13; 2/9; ; ; 1/7; ; 
Draw; 5; 5; 9/2; ; 11/2; ; 11/2; 9/2; 11/2; 5; 5; 5; 21/4; 11/2; ; 11/2; 26/5; 5; 5; 26/5; 27/5; 57/10; 5; ; ; 1/50; ; 
Stoke; 14; 11; 9; ; 14; 12; 12; 9; 11; 11; 12; 11; 12; 12; ; 14; 23/2; 9; 12; 23/2; 25/2; 11; 12; ; ; 62/5; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-03 10:16:46 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 1/5; 2/9; 1/4; ; 2/9; 2/9; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; 2/9; ; 2/9; 2/9; 1/4; 2/9; 2/9; 27/100; 3/13; 2/9; ; ; 1/7; ; 
Draw; 5; 5; 9/2; ; 11/2; ; 11/2; 9/2; 11/2; 5; 5; 5; 21/4; 11/2; ; 11/2; 26/5; 5; 5; 26/5; 27/5; 57/10; 5; ; ; 1/50; ; 
Stoke; 14; 11; 9; ; 14; 12; 12; 9; 11; 11; 12; 11; 12; 12; ; 14; 23/2; 9; 12; 23/2; 25/2; 11; 12; ; ; 62/5; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-03 14:16:59 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 1/5; 2/9; 1/4; ; 1/4; 2/9; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; 2/9; ; 2/9; 2/9; 1/4; 2/9; 2/9; 27/100; 3/13; 3/13; ; ; 2/9; ; 
Draw; 5; 5; 9/2; ; 11/2; ; 11/2; 9/2; 11/2; 5; 5; 5; 21/4; 11/2; ; 11/2; 51/10; 5; 26/5; 51/10; 27/5; 57/10; 21/4; ; ; 26/5; ; 
Stoke; 14; 11; 9; ; 14; 12; 12; 9; 11; 11; 12; 11; 12; 12; ; 14; 11; 9; 23/2; 11; 25/2; 11; 23/2; ; ; 64/5; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-03 18:16:43 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; 2/9; 1/4; ; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; ; 1/4; 2/9; 1/4; 2/9; 2/9; 27/100; 3/13; 3/13; ; ; 2/9; ; 
Draw; 19/4; 5; 9/2; ; 11/2; ; 11/2; 9/2; 11/2; 5; 24/5; 5; 21/4; 11/2; ; 11/2; 51/10; 5; 26/5; 51/10; 27/5; 57/10; 21/4; ; ; 7/2; ; 
Stoke; 12; 11; 9; ; 14; 11; 12; 9; 11; 11; 11; 11; 11; 14; ; 12; 43/4; 9; 23/2; 43/4; 25/2; 11; 23/2; ; ; 62/5; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-03 22:16:47 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; ; 1/4; 2/9; 1/4; 2/9; 2/9; 27/100; 4/17; 3/13; ; ; 1/4; ; 
Draw; 19/4; 5; 9/2; 5; 11/2; ; 11/2; 9/2; 11/2; 5; 24/5; 5; 21/4; 11/2; ; 11/2; 51/10; 5; 26/5; 51/10; 27/5; 26/5; 21/4; ; ; 1/100; ; 
Stoke; 12; 10; 9; 10; 14; 11; 12; 9; 11; 11; 11; 11; 11; 14; ; 12; 43/4; 9; 23/2; 43/4; 25/2; 11; 23/2; ; ; 62/5; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-04 02:16:28 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
